originals	tokenized	transliterated
fanènèha(k)	f a n è n è h a (k)	f a n ɛ n ɛ h a ʔ
oehaibi	oe h a i b i	u h a i b i
fahabōha(k)	f a h a b ō h a (k)	f a h a b oː h a ʔ
karahoe	k a r a h oe	k a r a h u
kakiho(k)	k a k i h o (k)	k a k i ç ɔ ʔ
mainŏk	m a i n ŏ k	m a i n ɔ k
homainŏk	h o m a i n ŏ k	h ɔ m a i n ɔ k
mŏhŏmŏ(k)	m ŏ h ŏ m ŏ (k)	m ɔ h ɔ m ɔ ʔ
hoăko(k) wa(k)	h o ă k o (k) + w a (k)	h ɔ ᾰ k ɔ ʔ + w a ʔ
kababa	k a b a b a	k a b a b a
èfoeaka	è f oe a k a	ɛ f u a k a
ĕwak	ĕ w a k	ə w a k
oebidji	oe b i dj i	u b i d͡ʒ i
idjī	i dj ī	i d͡ʒ iː
èkiĕĕ	è k i ĕĕ	ɛ k i əː
moeoe	m oe oe	m u u
moho(k) oekie	m o h o (k) + oe k ie	m ɔ h ɔ ʔ + u k i
kifahondie	k i f a h o n d ie	k i f a h ɔ n d i
kaik	k a i k	k a i k
adoewĕ	a d oe w ĕ	a d u w ə
adoewa	a d oe w a	a d u w a
akoloe	a k o l oe	a k ɔ l u
afa	a f a	a f a
aliba	a l i b a	a l i b a
aribĕ	a r i b ĕ	a r i b ə
kakinĕ	k a k i n ĕ	k a k i n ə
aki	a k i	a k i
akinĕ	a k i n ĕ	a k i n ə
ariba adoewĕ	a r i b a + a d oe w ĕ	a r i b a + a d u w ə
afai-īafā	a f a i - ī a f ā	a f a i - iː a f aː
baikaik	b a i k a i k	b a i k a i k
ibaikaik	i b a i k a i k	i b a i k a i k
kifahoek	k i f a h oe k	k i f a h u k
kāāfoeroe	k āā f oe r oe	k aː f u r u
kifahoekjo kaik	k i f a h oe k j o + k a i k	k i f a h u k j ɔ + k a i k
kifahoekjo adoewĕ	k i f a h oe k j o + a d oe w ĕ	k i f a h u k j ɔ + a d u w ə
kifahoekjo akoloe	k i f a h oe k j o + a k o l oe	k i f a h u k j ɔ + a k ɔ l u
kifahoekjo afa	k i f a h oe k j o + a f a	k i f a h u k j ɔ + a f a
kifahoekjo alibĕ	k i f a h oe k j o + a l i b ĕ	k i f a h u k j ɔ + a l i b ə
kifahoekjo akakinĕ	k i f a h oe k j o + a k a k i n ĕ	k i f a h u k j ɔ + a k a k i n ə
kifahoekjo alibĕ adoewĕ	k i f a h oe k j o + a l i b ĕ + a d oe w ĕ	k i f a h u k j ɔ + a l i b ə + a d u w ə
kifahoekjo afai afa	k i f a h oe k j o + a f a i + a f a	k i f a h u k j ɔ + a f a i + a f a
kifahoekjo baikaik	k i f a h oe k j o + b a i k a i k	k i f a h u k j ɔ + b a i k a i k
kaik taka	k a i k + t a k a	k a i k + t a k a
kaik takajo kaik	k a i k + t a k a j o + k a i k	k a i k + t a k a j ɔ + k a i k
kaik takajo alibĕ	k a i k + t a k a j o + a l i b ĕ	k a i k + t a k a j ɔ + a l i b ə
kaik takajo kifahoek	k a i k + t a k a j o + k i f a h oe k	k a i k + t a k a j ɔ + k i f a h u k
adoewĕ taka	a d oe w ĕ + t a k a	a d u w ə + t a k a
adoewĕ takajo kifahoek	a d oe w ĕ + t a k a j o + k i f a h oe k	a d u w ə + t a k a j ɔ + k i f a h u k
akoloe taka	a k o l oe + t a k a	a k ɔ l u + t a k a
alibĕ taka	a l i b ĕ + t a k a	a l i b ə + t a k a
kifahoek taka	k i f a h oe k + t a k a	k i f a h u k + t a k a
kaik koedodoka	k a i k + k oe d o d o k a	k a i k + k u d ɔ d ɔ k a
kidahŏ	k i d a h ŏ	k i d a h ɔ
kahakoudĕ	k a h a k o u d ĕ	k a h a k ɔ u d ə
nŏ(k)afa	n ŏ (k) a f a	n ɔ ʔ a f a
kahanoeĕ	k a h a n oe ĕ	k a h a n u ə
adoewĕ kanoeĕ	a d oe w ĕ + k a n oe ĕ	a d u w ə + k a n u ə
nè(k)è	n è (k) è	n ɛ ʔ ɛ
ija adoewĕ	i j a + a d oe w ĕ	i j a + a d u w ə
akakanoe	a k a k a n oe	a k a k a n u
hokèora(k)	h o k è o r a (k)	h ɔ k ɛ ɔ r a ʔ
afika	a f i k a	a f i k a
mŏkŏ	m ŏ k ŏ	m ɔ k ɔ
kīhīmanĕ	k ī h ī m a n ĕ	k iː h iː m a n ə
kèhèmanĕ	k è h è m a n ĕ	k ɛ h ɛ m a n ə
hiakikĕ	h i a k i k ĕ	h i a k i k ə
ma(k)aki(k)	m a (k) a k i (k)	m a ʔ a k i ʔ
kihimanĕ	k i h i m a n ĕ	k i ç i m a n ə
kidjĕrŏ	k i dj ĕ r ŏ	k i d͡ʒ ə r ɔ
haèloedă(k)	h a è l oe d ă (k)	h a ɛ l u d ᾰ ʔ
fakidja	f a k i dj a	f a k i d͡ʒ a
kèabak	k è a b a k	k ɛ a b a k
èfīkahaj	è f ī k a h a j	ɛ f iː k a h a j
oewā	oe w ā	u w aː
ŏŏ	ŏŏ	ɔː
ĕĕ	ĕĕ	əː
ĕĕ	ĕĕ	əː
ŏŏ	ŏŏ	ɔː
ĕĕ	ĕĕ	əː
ŏŏ	ŏŏ	ɔː
kija	k i j a	k i j a
oewā	oe w ā	u w aː
ikŏ	i k ŏ	i k ɔ
kija	k i j a	k i j a
èai	è a i	ɛ a i
èaiboe	è a i b oe	ɛ a i b u
èaioe	è a i oe	ɛ a i u
èaioe	è a i oe	ɛ a i u
hŏhā	h ŏ h ā	h ɔ h aː
hā	h ā	h aː
èijah	è i j a h	ɛ i j a h
tiŏ	t i ŏ	t i ɔ
èhĕ	è h ĕ	ɛ h ə
itèk	i t è k	i t ɛ k
itèk	i t è k	i t ɛ k
èana	è a n a	ɛ a n a
itèk	i t è k	i t ɛ k
arè(k)	a r è (k)	a r ɛ ʔ
adè(k)	a d è (k)	a d ɛ ʔ
èjà(k)ā	è j à (k) ā	ɛ j a ʔ aː
djidja	dj i dj a	d͡ʒ i d͡ʒ a
maumanĕ	m a u m a n ĕ	m a u m a n ə
namanihŏ	n a m a n i h ŏ	n a m a n i ç ɔ
fanihiōfi	f a n i h i ō f i	f a n i ç i oː f i
kienŏhŏ	k ie n ŏ h ŏ	k i n ɔ h ɔ
haŏ(k)ha	h a ŏ (k) h a	h a ɔ ʔ h a
haŏ(k)ha	h a ŏ (k) h a	h a ɔ ʔ h a
haŏ(k)ha	h a ŏ (k) h a	h a ɔ ʔ h a
haŏ(k)ha	h a ŏ (k) h a	h a ɔ ʔ h a
haŏ(k)ha	h a ŏ (k) h a	h a ɔ ʔ h a
haŏ(k)ha	h a ŏ (k) h a	h a ɔ ʔ h a
haŏ(k)ha	h a ŏ (k) h a	h a ɔ ʔ h a
haŏ(k)ha	h a ŏ (k) h a	h a ɔ ʔ h a
haŏ(k)ha	h a ŏ (k) h a	h a ɔ ʔ h a
haŏ(k)ha	h a ŏ (k) h a	h a ɔ ʔ h a
haŏ(k)ha	h a ŏ (k) h a	h a ɔ ʔ h a
homanika	h o m a n i k a	h ɔ m a n i k a
janieka	j a n ie k a	j a n i k a
eaikaha(k)	e a i k a h a (k)	e a i k a h a ʔ
koahjĕ	k o a h j ĕ	k ɔ a h j ə
kafŏ	k a f ŏ	k a f ɔ
ènoha	è n o h a	ɛ n ɔ h a
dakŏha	d a k ŏ h a	d a k ɔ h a
nŏŏ	n ŏŏ	n ɔː
naafè	n aa f è	n aː f ɛ
nŏŏ	n ŏŏ	n ɔː
kahanoeĕ	k a h a n oe ĕ	k a h a n u ə
pabaka	p a b a k a	p a b a k a
oeakanroe	oe a k a n r oe	u a k a n r u
baoeloe	b a oe l oe	b a u l u
aoeloe	a oe l oe	a u l u
kahanoeĕ	k a h a n oe ĕ	k a h a n u ə
hale	h a l e	h a l e
nèè	n èè	n ɛː
bahaibĕ	b a h a i b ĕ	b a h a i b ə
arapohĕ	a r a p o h ĕ	a r a p ɔ h ə
kaiĕkodiĕ	k a i ĕ k o d i ĕ	k a i ə k ɔ d i ə
nèè	n èè	n ɛː
naoemanĕ	n a oe m a n ĕ	n a u m a n ə
laikahadiĕ	l a i k a h a d i ĕ	l a i k a h a d i ə
mŏkŏkŏ	m ŏ k ŏ k ŏ	m ɔ k ɔ k ɔ
èfāā mahiĕ	è f āā + m a h i ĕ	ɛ f aː + m a h i ə
nakoeānā	n a k oe ā n ā	n a k u aː n aː
nāāfè	n āā f è	n aː f ɛ
aboeha	a b oe h a	a b u h a
māāfè	m āā f è	m aː f ɛ
kaoefè(k)	k a oe f è (k)	k a u f ɛ ʔ
kaoefè(k)	k a oe f è (k)	k a u f ɛ ʔ
kaoefè(k)	k a oe f è (k)	k a u f ɛ ʔ
èèfè	èè f è	ɛː f ɛ
èloeba	è l oe b a	ɛ l u b a
dèbè	d è b è	d ɛ b ɛ
itèbè	i t è b è	i t ɛ b ɛ
koelie tèbè	k oe l ie + t è b è	k u l i + t ɛ b ɛ
itŏfŏ	i t ŏ f ŏ	i t ɔ f ɔ
koeli tŏfŏ	k oe l i + t ŏ f ŏ	k u l i + t ɔ f ɔ
koelie-hŏako(k)	k oe l ie - h ŏ a k o (k)	k u l i - h ɔ a k ɔ ʔ
tŏfŏ	t ŏ f ŏ	t ɔ f ɔ
koelie	k oe l ie	k u l i
ihŏ	i h ŏ	i ç ɔ
pŏkŏ	p ŏ k ŏ	p ɔ k ɔ
kahaĕ	k a h a ĕ	k a h a ə
kokonĕ	k o k o n ĕ	k ɔ k ɔ n ə
fanèna	f a n è n a	f a n ɛ n a
panè	p a n è	p a n ɛ
mil	m i l	m i l
fakè èhèa	f a k è + è h è a	f a k ɛ + ɛ h ɛ a
pakèèhèa	p a k èè h è a	p a k ɛː h ɛ a
mŏkŏ èfōka	m ŏ k ŏ + è f ō k a	m ɔ k ɔ + ɛ f oː k a
ijāha	i j ā h a	i j aː h a
kinŏnŏ	k i n ŏ n ŏ	k i n ɔ n ɔ
èŏdā	è ŏ d ā	ɛ ɔ d aː
nèè	n èè	n ɛː
kienono iĕdiĕ	k ie n o n o + i ĕ d i ĕ	k i n ɔ n ɔ + i ə d i ə
wakipoehaiā	w a k i p oe h a i ā	w a k i p u h a i aː
koina(k) akoina(k)	k o i n a (k) + a k o i n a (k)	k ɔ i n a ʔ + a k ɔ i n a ʔ
oemāhaoe	oe m ā h a oe	u m aː h a u
farakoa	f a r a k o a	f a r a k ɔ a
panako	p a n a k o	p a n a k ɔ
ijo	i j o	i j ɔ
jŏ	j ŏ	j ɔ
kieaba(k)	k ie a b a (k)	k i a b a ʔ
kèo	k è o	k ɛ ɔ
ŏk	ŏ k	ɔ k
èara no(k)a	è a r a + n o (k) a	ɛ a r a + n ɔ ʔ a
ijara(k)	i j a r a (k)	i j a r a ʔ
ŏk	ŏ k	ɔ k
nŏ(k)a	n ŏ (k) a	n ɔ ʔ a
panĕha	p a n ĕ h a	p a n ə h a
kĕabak	k ĕ a b a k	k ə a b a k
kapalå	k a p a l å	k a p a l ɯ
moekå	m oe k å	m u k ɯ
telingå	t e l i ng å	t e l i ŋ ɯ
matå	m a t å	m a t ɯ
dadå	d a d å	d a d ɯ
mengiroek	m e ng i r oe k	m e ŋ i r u k
gĕlå	g ĕ l å	g ə l ɯ
terkoeå	t e r k oe å	t e r k u ɯ
ingè	i ng è	i ŋ ɛ
bakat	b a k a t	b a k a t
boetå	b oe t å	b u t ɯ
ĕbak	ĕ b a k	ə b a k
ĕmak	ĕ m a k	ə m a k
loepå	l oe p å	l u p ɯ
epāpā	e p ā p ā	e p aː p aː
koerīpŏ	k oe r ī p ŏ	k u r iː p ɔ
parorīpŏ	p a r o r ī p ŏ	p a r ɔ r iː p ɔ
èpoekŏ	è p oe k ŏ	ɛ p u k ɔ
piŏ-piŏ	p i ŏ - p i ŏ	p i ɔ - p i ɔ
arŏpāā	a r ŏ p āā	a r ɔ p aː
èpoe(k)oe apŏ	è p oe (k) oe + a p ŏ	ɛ p u ʔ u + a p ɔ
hèoafĕ	h è o a f ĕ	h ɛ ɔ a f ə
poeroeroe	p oe r oe r oe	p u r u r u
wapiaka	w a p i a k a	w a p i a k a
éāpākoe	é ā p ā k oe	ɛ aː p aː k u
kapoehŏ	k a p oe h ŏ	k a p u h ɔ
kipĕrai èdio	k i p ĕ r a i + è d i o	k i p ə r a i + ɛ d i ɔ
kipĕ hŏdŏ	k i p ĕ + h ŏ d ŏ	k i p ə + h ɔ d ɔ
èloppo	è l o pp o	ɛ l ɔ pː ɔ
èhouka	è h o u k a	ɛ h ɔ u k a
pakoewĕ	p a k oe w ĕ	p a k u w ə
èoba	è o b a	ɛ ɔ b a
pakoeroe	p a k oe r oe	p a k u r u
èhaĕ	è h a ĕ	ɛ h a ə
roehoekiĕ(k)	r oe h oe k i ĕ (k)	r u h u k i ə ʔ
pèdjiè	p è dj i è	p ɛ d͡ʒ i ɛ
èoeba	è oe b a	ɛ u b a
kararo	k a r a r o	k a r a r ɔ
karieha	k a r ie h a	k a r i ç a
pabŏrikī	p a b ŏ r i k ī	p a b ɔ r i k iː
èpieĕ	è p ie ĕ	ɛ p i ə
koepadŏ	k oe p a d ŏ	k u p a d ɔ
èŏroe	è ŏ r oe	ɛ ɔ r u
èoedie	è oe d ie	ɛ u d i
èŏroe	è ŏ r oe	ɛ ɔ r u
èpa èpa	è p a + è p a	ɛ p a + ɛ p a
mèo	m è o	m ɛ ɔ
èoepoekŏ	è oe p oe k ŏ	ɛ u p u k ɔ
èpŏŏpa	è p ŏŏ p a	ɛ p ɔː p a
kŏpènè	k ŏ p è n è	k ɔ p ɛ n ɛ
èpèo(k)	è p è o (k)	ɛ p ɛ ɔ ʔ
kokona	k o k o n a	k ɔ k ɔ n a
erihŏ	e r i h ŏ	e r i ç ɔ
èloppo	è l o pp o	ɛ l ɔ pː ɔ
ĕrŏōrai	ĕ r ŏ ō r a i	ə r ɔ oː r a i
èorie	è o r ie	ɛ ɔ r i
moko èarie	m o k o + è a r ie	m ɔ k ɔ + ɛ a r i
pakèlie	p a k è l ie	p a k ɛ l i
aijĕpoho	a i j ĕ p o h o	a i j ə p ɔ h ɔ
kaoewa	k a oe w a	k a u w a
kipamo	k i p a m o	k i p a m ɔ
kipèora(k)	k i p è o r a (k)	k i p ɛ ɔ r a ʔ
pōhōja(k)	p ō h ō j a (k)	p oː h oː j a ʔ
kahapariek	k a h a p a r ie k	k a h a p a r i k
aoedoe	a oe d oe	a u d u
apiha	a p i h a	a p i ç a
naapè	n aa p è	n aː p ɛ
raikaha diĕ	r a i k a h a + d i ĕ	r a i k a h a + d i ə
èèpè	èè p è	ɛː p ɛ
edoeba	e d oe b a	e d u b a
