originals	tokenized	transliterated
kaoefè(k)	k a oe f è (k)	k a u f E '
èèfè	èè f è	è è f E
èloeba	è l oe b a	E l u b a
dèbè	d è b è	d E b E
itèbè	i t è b è	i t E b E
koelie tèbè	k oe l ie + t è b è	k u l i + t E b E
itŏfŏ	i t ŏ f ŏ	i t O f O
koeli tŏfŏ	k oe l i + t ŏ f ŏ	k u l i + t O f O
koelie-hŏako(k)	k oe l ie - h ŏ a k o (k)	k u l i - h O a k O '
tŏfŏ	t ŏ f ŏ	t O f O
koelie	k oe l ie	k u l i
ihŏ	i h ŏ	i x O
pŏkŏ	p ŏ k ŏ	p O k O
kahaĕ	k a h a ĕ	k a h a ė
kokonĕ	k o k o n ĕ	k O k O n ė
fanèna	f a n è n a	f a n E n a
panè	p a n è	p a n E
mil	m i l	m i l
fakè èhèa	f a k è + è h è a	f a k E + E h E a
pakèèhèa	p a k èè h è a	p a k è è h E a
mŏkŏ èfōka	m ŏ k ŏ + è f ō k a	m O k O + E f o o k a
ijāha	i j ā h a	i y a a h a
kinŏnŏ	k i n ŏ n ŏ	k i n O n O
èŏdā	è ŏ d ā	E O d a a
nèè	n èè	n è è
kienono iĕdiĕ	k ie n o n o + i ĕ d i ĕ	k i n O n O + i ė d i ė
wakipoehaiā	w a k i p oe h a i ā	w a k i p u h a i a a
koina(k) akoina(k)	k o i n a (k) + a k o i n a (k)	k O i n a ' + a k O i n a '
oemāhaoe	oe m ā h a oe	u m a a h a u
farakoa	f a r a k o a	f a r a k O a
panako	p a n a k o	p a n a k O
ijo	i j o	i y O
jŏ	j ŏ	y O
kieaba(k)	k ie a b a (k)	k i a b a '
kèo	k è o	k E O
ŏk	ŏ k	O k
èara no(k)a	è a r a + n o (k) a	E a r a + n O ' a
ijara(k)	i j a r a (k)	i y a r a '
ŏk	ŏ k	O k
nŏ(k)a	n ŏ (k) a	n O ' a
panĕha	p a n ĕ h a	p a n ė h a
kĕabak	k ĕ a b a k	k ė a b a k
kapalå	k a p a l å	k a p a l a
moekå	m oe k å	m u k a
telingå	t e l i ng å	t e l i n g a
matå	m a t å	m a t a
dadå	d a d å	d a d a
mengiroek	m e ng i r oe k	m e n g i r u k
gĕlå	g ĕ l å	g ė l a
terkoeå	t e r k oe å	t e r k u a
ingè	i ng è	i n g E
bakat	b a k a t	b a k a t
boetå	b oe t å	b u t a
ĕbak	ĕ b a k	ė b a k
ĕmak	ĕ m a k	ė m a k
loepå	l oe p å	l u p a
epāpā	e p ā p ā	e p a a p a a
koerīpŏ	k oe r ī p ŏ	k u r i i p O
parorīpŏ	p a r o r ī p ŏ	p a r O r i i p O
èpoekŏ	è p oe k ŏ	E p u k O
piŏ-piŏ	p i ŏ - p i ŏ	p i O - p i O
arŏpāā	a r ŏ p āā	a r O p a a
èpoe(k)oe apŏ	è p oe (k) oe + a p ŏ	E p u ' u + a p O
hèoafĕ	h è o a f ĕ	h E O a f ė
poeroeroe	p oe r oe r oe	p u r u r u
wapiaka	w a p i a k a	w a p i a k a
éāpākoe	é ā p ā k oe	E a a p a a k u
kapoehŏ	k a p oe h ŏ	k a p u h O
kipĕrai èdio	k i p ĕ r a i + è d i o	k i p ė r a i + E d i O
kipĕ hŏdŏ	k i p ĕ + h ŏ d ŏ	k i p ė + h O d O
èloppo	è l o pp o	E l O p p O
èhouka	è h o u k a	E h O u k a
pakoewĕ	p a k oe w ĕ	p a k u w ė
èoba	è o b a	E O b a
pakoeroe	p a k oe r oe	p a k u r u
èhaĕ	è h a ĕ	E h a ė
roehoekiĕ(k)	r oe h oe k i ĕ (k)	r u h u k i ė '
pèdjiè	p è dj i è	p E j i E
èoeba	è oe b a	E u b a
kararo	k a r a r o	k a r a r O
karieha	k a r ie h a	k a r i x a
pabŏrikī	p a b ŏ r i k ī	p a b O r i k i i
èpieĕ	è p ie ĕ	E p i ė
koepadŏ	k oe p a d ŏ	k u p a d O
èŏroe	è ŏ r oe	E O r u
èoedie	è oe d ie	E u d i
èŏroe	è ŏ r oe	E O r u
èpa èpa	è p a + è p a	E p a + E p a
mèo	m è o	m E O
èoepoekŏ	è oe p oe k ŏ	E u p u k O
èpŏŏpa	è p ŏŏ p a	E p O O p a
kŏpènè	k ŏ p è n è	k O p E n E
èpèo(k)	è p è o (k)	E p E O '
kokona	k o k o n a	k O k O n a
erihŏ	e r i h ŏ	e r i x O
èloppo	è l o pp o	E l O p p O
ĕrŏōrai	ĕ r ŏ ō r a i	ė r O o o r a i
èorie	è o r ie	E O r i
moko èarie	m o k o + è a r ie	m O k O + E a r i
pakèlie	p a k è l ie	p a k E l i
aijĕpoho	a i j ĕ p o h o	a i y ė p O h O
kaoewa	k a oe w a	k a u w a
kipamo	k i p a m o	k i p a m O
kipèora(k)	k i p è o r a (k)	k i p E O r a '
pōhōja(k)	p ō h ō j a (k)	p o o h o o y a '
kahapariek	k a h a p a r ie k	k a h a p a r i k
aoedoe	a oe d oe	a u d u
apiha	a p i h a	a p i x a
naapè	n aa p è	n a a p E
raikaha diĕ	r a i k a h a + d i ĕ	r a i k a h a + d i ė
èèpè	èè p è	è è p E
edoeba	e d oe b a	e d u b a
